word;freq;p
the;9243;18
and;5196;17
to;4951;17
a;4506;16
in;2822;15
is;2699;15
you;2041;14
are;1843;14
for;1752;14
that;1743;14
or;1487;14
it;1386;14
as;1363;13
be;1145;13
on;1087;13
your;1067;13
with;1062;13
can;895;13
have;891;13
this;864;12
an;754;12
by;706;12
not;658;12
but;626;12
at;624;12
from;622;12
I;621;12
they;617;12
more;597;12
will;577;12
if;546;11
some;501;11
there;470;11
what;461;11
about;451;11
which;449;11
when;442;11
one;441;11
their;439;11
all;438;11
also;419;11
how;412;11
many;397;11
do;389;11
has;384;11
most;378;11
people;372;11
other;369;11
time;369;11
so;352;11
was;352;11
we;352;11
these;344;11
may;336;10
like;324;10
use;319;10
into;301;10
than;301;10
up;296;10
out;294;10
who;281;10
them;269;10
make;262;10
because;248;10
such;236;10
through;235;10
get;233;10
work;224;10
even;223;10
different;215;10
its;215;10
no;213;10
our;213;10
new;210;10
film;209;10
just;208;10
only;208;10
see;204;10
used;204;10
good;201;9
water;201;9
been;200;9
need;193;9
should;191;9
very;191;9
any;190;9
history;187;9
often;187;9
way;185;9
well;184;9
art;183;9
know;181;9
were;180;9
then;179;9
my;177;9
first;176;9
would;176;9
money;174;9
each;173;9
over;170;9
world;169;9
information;168;9
map;167;9
find;166;9
where;166;9
much;165;9
take;164;9
two;164;9
want;163;9
important;160;9
family;159;9
those;156;9
example;147;9
while;147;9
he;144;9
look;144;9
government;143;9
before;141;9
help;141;9
between;137;9
go;131;9
own;130;9
however;128;9
business;127;9
us;127;9
great;126;9
his;125;9
being;124;9
another;123;9
health;122;9
same;120;9
study;118;8
why;118;8
few;117;8
game;117;8
might;116;8
think;116;8
free;115;8
too;114;8
had;113;8
hi;113;8
right;113;8
still;112;8
system;111;8
after;110;8
computer;109;8
best;108;8
must;108;8
her;107;8
life;107;8
since;107;8
could;105;8
does;104;8
now;104;8
during;103;8
learn;102;8
around;101;8
usually;101;8
form;99;8
meat;99;8
air;98;8
day;98;8
place;98;8
become;97;8
number;97;8
public;97;8
read;97;8
keep;96;8
part;96;8
start;96;8
year;96;8
every;95;8
field;95;8
large;95;8
once;95;8
available;94;8
down;94;8
give;93;8
fish;92;8
human;92;8
both;91;8
local;90;8
sure;90;8
something;89;8
without;89;8
come;88;8
me;88;8
back;86;8
better;86;8
general;85;8
process;85;8
she;85;8
heat;84;8
thanks;84;8
specific;83;8
enough;82;8
long;82;8
lot;82;8
hand;81;8
popular;81;8
small;81;8
though;81;8
experience;80;8
include;80;8
job;80;8
music;80;8
person;80;8
really;79;8
although;78;8
thank;78;8
book;77;8
early;77;8
reading;77;8
end;76;8
method;76;8
never;76;8
less;75;8
play;75;8
able;74;8
data;74;8
feel;74;8
high;74;8
off;74;8
point;74;8
type;74;8
whether;74;8
food;73;8
understanding;73;8
here;72;8
home;72;8
certain;71;8
economy;71;8
little;71;8
theory;71;8
tonight;71;8
law;70;8
put;70;8
under;70;8
value;70;8
always;69;8
body;69;8
common;69;8
market;69;8
set;69;8
bird;68;8
guide;68;8
provide;68;8
change;67;7
interest;67;7
literature;67;7
sometimes;67;7
problem;66;7
say;66;7
next;64;7
create;63;7
simple;63;7
software;63;7
state;63;7
together;63;7
control;62;7
knowledge;62;7
power;62;7
radio;62;7
ability;61;7
basic;61;7
course;61;7
economics;61;7
hard;61;7
add;60;7
company;60;7
known;60;7
love;60;7
past;60;7
price;60;7
size;60;7
away;59;7
big;59;7
internet;59;7
possible;59;7
television;59;7
three;59;7
understand;59;7
various;59;7
yourself;59;7
card;58;7
difficult;58;7
including;58;7
list;58;7
mind;58;7
particular;58;7
real;58;7
science;58;7
trade;58;7
consider;57;7
either;57;7
library;57;7
likely;57;7
nature;57;7
fact;56;7
line;56;7
product;56;7
care;55;7
group;55;7
idea;55;7
risk;55;7
several;55;7
someone;55;7
temperature;55;7
united;55;7
word;55;7
fat;54;7
force;54;7
key;54;7
light;54;7
simply;54;7
today;54;7
training;54;7
until;54;7
major;53;7
name;53;7
personal;53;7
school;53;7
top;53;7
current;52;7
generally;52;7
historical;52;7
investment;52;7
left;52;7
national;52;7
amount;51;7
level;51;7
order;51;7
practice;51;7
research;51;7
sense;51;7
service;51;7
area;50;7
cut;50;7
hot;50;7
instead;50;7
least;50;7
natural;50;7
physical;50;7
piece;50;7
show;50;7
society;50;7
try;50;7
check;49;7
choose;49;7
develop;49;7
second;49;7
useful;49;7
web;49;7
activity;48;7
boss;48;7
short;48;7
story;48;7
call;47;7
industry;47;7
last;47;7
media;47;7
mental;47;7
move;47;7
pay;47;7
sport;47;7
thing;47;7
actually;46;7
against;46;7
far;46;7
fun;46;7
house;46;7
let;46;7
page;46;7
remember;46;7
term;46;7
test;46;7
within;46;7
along;45;7
answer;45;7
increase;45;7
oven;45;7
quite;45;7
scared;45;7
single;45;7
sound;45;7
again;44;7
